Dates,NKE ,C ,SPX ,USDGBP,CBK ,VOW ,DAX,GBPEUR,,,,,,,,,,,,,,,,,,,,
04/01/2010,16.3375,34,1132.98,0.6217,36.094,73.124,6048.3,1.1159,,,,,,,,,,,,,,,,,,,,
05/01/2010,16.4025,35.3,1136.52,0.6253,37.5205,74.267,6031.86,1.1132,,,,,,,,,,,,,,,,,,,,
06/01/2010,16.3025,36.4,1137.14,0.6243,38.7732,74.367,6034.33,1.1118,,,,,,,,,,,,,,,,,,,,
07/01/2010,16.4625,36.5,1141.7,0.6276,40.9429,74.953,6019.36,1.1135,,,,,,,,,,,,,,,,,,,,
08/01/2010,16.43,35.9,1144.98,0.6241,40.9669,76.087,6037.61,1.1119,,,,,,,,,,,,,,,,,,,,
11/01/2010,16.2275,36.3,1146.98,0.6206,41.4164,75.321,6040.5,1.1103,,,,,,,,,,,,,,,,,,,,
12/01/2010,16.205,35.2,1136.22,0.6186,39.2587,73.482,5943,1.1158,,,,,,,,,,,,,,,,,,,,
13/01/2010,16.35,35,1145.68,0.6142,39.7921,74.019,5963.14,1.1221,,,,,,,,,,,,,,,,,,,,
14/01/2010,16.2475,35.1,1148.46,0.6122,40.4035,73.104,5988.88,1.1266,,,,,,,,,,,,,,,,,,,,
15/01/2010,16.0975,34.2,1136.03,0.6148,39.6782,72.468,5875.97,1.1305,,,,,,,,,,,,,,,,,,,,
18/01/2010,16.0975,34.2,1136.03,0.6119,39.2587,72.269,5918.55,1.1362,,,,,,,,,,,,,,,,,,,,
19/01/2010,16.1775,35.4,1150.23,0.6112,39.5644,72.11,5976.48,1.1452,,,,,,,,,,,,,,,,,,,,
20/01/2010,16.045,34.6,1138.04,0.6138,38.5215,71.295,5851.53,1.155,,,,,,,,,,,,,,,,,,,,
21/01/2010,15.91,32.7,1116.48,0.6175,36.8552,70.897,5746.97,1.1499,,,,,,,,,,,,,,,,,,,,
22/01/2010,15.745,32.5,1091.76,0.6206,36.7353,69.416,5695.32,1.1396,,,,,,,,,,,,,,,,,,,,
25/01/2010,15.9175,32.3,1096.79,0.6156,36.2319,68.014,5631.37,1.1479,,,,,,,,,,,,,,,,,,,,
26/01/2010,15.935,31.5,1092.17,0.6194,36.2139,67.596,5668.93,1.1472,,,,,,,,,,,,,,,,,,,,
27/01/2010,16,32,1097.5,0.6185,35.0691,65.817,5643.2,1.1529,,,,,,,,,,,,,,,,,,,,
28/01/2010,15.88,32.4,1084.53,0.6197,34.6975,64.067,5540.33,1.1551,,,,,,,,,,,,,,,,,,,,
29/01/2010,15.9375,33.2,1073.87,0.6256,33.8584,63.262,5608.79,1.1532,,,,,,,,,,,,,,,,,,,,
01/02/2010,16.025,33.4,1089.19,0.6267,35.5546,65.926,5654.48,1.1454,,,,,,,,,,,,,,,,,,,,
02/02/2010,15.9825,34.1,1103.32,0.6261,35.8782,66.433,5709.66,1.1438,,,,,,,,,,,,,,,,,,,,
03/02/2010,16,33.7,1097.28,0.6292,35.129,67.984,5672.09,1.1438,,,,,,,,,,,,,,,,,,,,
04/02/2010,15.5225,31.8,1063.11,0.6347,33.4028,65.797,5533.24,1.1481,,,,,,,,,,,,,,,,,,,,
05/02/2010,15.425,32.2,1066.19,0.6394,32.5457,62.735,5434.34,1.1435,,,,,,,,,,,,,,,,,,,,
08/02/2010,15.325,31.5,1056.74,0.6416,33.0133,62.605,5484.85,1.1417,,,,,,,,,,,,,,,,,,,,
09/02/2010,15.6275,31.8,1070.52,0.6362,33.9902,63.699,5498.26,1.1393,,,,,,,,,,,,,,,,,,,,
10/02/2010,15.66,32,1068.14,0.6412,34.0622,64.345,5536.37,1.1353,,,,,,,,,,,,,,,,,,,,
11/02/2010,15.7375,32.1,1078.47,0.6368,34.1161,62.536,5503.93,1.1469,,,,,,,,,,,,,,,,,,,,
12/02/2010,15.6225,31.8,1075.51,0.6369,33.6546,61.929,5500.39,1.1519,,,,,,,,,,,,,,,,,,,,
15/02/2010,15.6225,31.8,1075.51,0.6386,33.5047,62.168,5511.1,1.1516,,,,,,,,,,,,,,,,,,,,
16/02/2010,15.9125,33.1,1094.87,0.6333,33.7924,63.023,5592.12,1.1469,,,,,,,,,,,,,,,,,,,,
17/02/2010,16.12,34.1,1099.51,0.6381,34.4457,64.465,5648.34,1.1518,,,,,,,,,,,,,,,,,,,,
18/02/2010,16.11,34.3,1106.75,0.644,34.4937,63.957,5680.41,1.1478,,,,,,,,,,,,,,,,,,,,
19/02/2010,16.0875,34.2,1109.17,0.6463,34.9133,62.904,5722.05,1.137,,,,,,,,,,,,,,,,,,,,
22/02/2010,16.0775,34.6,1108.02,0.6459,35.5426,64.544,5688.44,1.1388,,,,,,,,,,,,,,,,,,,,
23/02/2010,16.0325,33.5,1094.6,0.6483,33.8704,64.206,5604.07,1.1419,,,,,,,,,,,,,,,,,,,,
24/02/2010,16.2325,34.5,1105.24,0.649,33.2051,65.031,5615.51,1.1381,,,,,,,,,,,,,,,,,,,,
25/02/2010,16.54,33.9,1102.94,0.6551,32.6656,63.987,5532.33,1.1265,,,,,,,,,,,,,,,,,,,,
26/02/2010,16.9,34,1104.49,0.6562,32.7855,63.371,5598.46,1.1175,,,,,,,,,,,,,,,,,,,,
01/03/2010,17.06,33.9,1115.71,0.6671,32.8454,63.977,5713.51,1.1055,,,,,,,,,,,,,,,,,,,,
02/03/2010,17.0075,34,1118.31,0.668,33.4028,65.101,5776.56,1.0997,,,,,,,,,,,,,,,,,,,,
03/03/2010,16.91,34,1118.79,0.6623,33.3729,66.433,5817.88,1.1024,,,,,,,,,,,,,,,,,,,,
04/03/2010,16.9075,34.3,1122.97,0.6652,33.9243,66.284,5795.32,1.107,,,,,,,,,,,,,,,,,,,,
05/03/2010,17.08,35,1138.7,0.6606,35.0631,71.295,5877.36,1.1111,,,,,,,,,,,,,,,,,,,,
08/03/2010,17.205,35.6,1138.51,0.6637,35.0211,71.076,5875.91,1.1052,,,,,,,,,,,,,,,,,,,,
09/03/2010,17.2325,38.2,1140.45,0.6668,35.117,69.813,5885.89,1.1026,,,,,,,,,,,,,,,,,,,,
10/03/2010,17.28,39.6,1145.61,0.6677,35.2669,70.151,5936.72,1.0967,,,,,,,,,,,,,,,,,,,,
11/03/2010,17.4375,41.8,1150.24,0.6639,35.3688,73.383,5928.63,1.1011,,,,,,,,,,,,,,,,,,,,
12/03/2010,17.475,39.7,1149.99,0.6577,36.4357,74.267,5945.11,1.1046,,,,,,,,,,,,,,,,,,,,
15/03/2010,17.5975,38.9,1150.51,0.6641,36.3817,73.82,5903.56,1.1009,,,,,,,,,,,,,,,,,,,,
16/03/2010,17.595,40.5,1159.46,0.656,37.2028,74.963,5970.99,1.1075,,,,,,,,,,,,,,,,,,,,
17/03/2010,17.72,40.5,1166.21,0.6525,38.2398,75.371,6024.28,1.1157,,,,,,,,,,,,,,,,,,,,
18/03/2010,18.665,40.2,1165.83,0.656,37.6404,74.516,6012.31,1.1201,,,,,,,,,,,,,,,,,,,,
19/03/2010,18.38,39,1159.9,0.6661,37.9341,74.715,5982.43,1.1096,,,,,,,,,,,,,,,,,,,,
22/03/2010,18.47,40.4,1165.81,0.6622,37.6404,75.54,5987.5,1.1138,,,,,,,,,,,,,,,,,,,,
23/03/2010,18.6225,41.3,1174.17,0.6645,38.6893,72.18,6017.27,1.1146,,,,,,,,,,,,,,,,,,,,
24/03/2010,18.345,41.5,1167.72,0.6726,39.5044,70.907,6039,1.1166,,,,,,,,,,,,,,,,,,,,
25/03/2010,18.3925,42.7,1165.73,0.6751,39.888,70.251,6132.95,1.1159,,,,,,,,,,,,,,,,,,,,
26/03/2010,18.4725,43.1,1166.59,0.6713,40.0978,72.289,6120.05,1.1109,,,,,,,,,,,,,,,,,,,,
29/03/2010,18.4925,41.8,1173.22,0.6672,39.3786,71.782,6156.85,1.1116,,,,,,,,,,,,,,,,,,,,
30/03/2010,18.4525,40.9,1173.27,0.6636,38.0599,70.191,6142.45,1.1235,,,,,,,,,,,,,,,,,,,,
31/03/2010,18.375,40.5,1169.43,0.6586,38.006,71.6,6153.55,1.1239,,,,,,,,,,,,,,,,,,,,
01/04/2010,18.5025,41.8,1178.1,0.6539,38.0599,71.61,6235.56,1.1254,,,,,,,,,,,,,,,,,,,,
02/04/2010,18.5025,41.8,1178.1,0.6575,38.0599,71.61,6235.56,1.1265,,,,,,,,,,,,,,,,,,,,
05/04/2010,18.5275,42.6,1187.44,0.6538,38.0599,71.61,6235.56,1.1342,,,,,,,,,,,,,,,,,,,,
06/04/2010,18.4775,42.9,1189.44,0.655,38.6653,72.45,6252.21,1.1393,,,,,,,,,,,,,,,,,,,,
07/04/2010,18.3975,43.6,1182.45,0.6561,38.4256,72.89,6222.41,1.1422,,,,,,,,,,,,,,,,,,,,
08/04/2010,18.4975,44.7,1186.44,0.6545,37.8562,71.18,6171.83,1.1437,,,,,,,,,,,,,,,,,,,,
09/04/2010,18.795,45.5,1194.37,0.6506,38,70.87,6249.7,1.1388,,,,,,,,,,,,,,,,,,,,
12/04/2010,18.8825,46.4,1196.48,0.6507,38.3057,70.92,6250.69,1.1308,,,,,,,,,,,,,,,,,,,,
13/04/2010,18.8775,46.2,1197.3,0.6502,38.0659,71.92,6230.83,1.1298,,,,,,,,,,,,,,,,,,,,
14/04/2010,18.95,49.3,1210.65,0.6466,39.0849,72.65,6278.4,1.1328,,,,,,,,,,,,,,,,,,,,
15/04/2010,18.91,48.1,1211.67,0.6454,39.4685,72.78,6291.45,1.1417,,,,,,,,,,,,,,,,,,,,
16/04/2010,18.7925,45.6,1192.13,0.6509,38.1139,72.46,6180.9,1.1379,,,,,,,,,,,,,,,,,,,,
19/04/2010,18.895,48.8,1197.52,0.652,37.6344,71.42,6162.44,1.1371,,,,,,,,,,,,,,,,,,,,
20/04/2010,19.09,49.7,1207.18,0.6511,38.036,73.77,6264.23,1.1432,,,,,,,,,,,,,,,,,,,,
21/04/2010,19.18,49.3,1205.95,0.6489,37.7603,75.35,6230.38,1.1509,,,,,,,,,,,,,,,,,,,,
22/04/2010,19.5575,48.7,1208.67,0.6503,36.8133,75.2,6168.72,1.1568,,,,,,,,,,,,,,,,,,,,
23/04/2010,19.475,48.6,1217.28,0.6503,36.8552,74,6259.53,1.149,,,,,,,,,,,,,,,,,,,,
26/04/2010,19.505,46.1,1212.05,0.6469,37.4905,73.82,6332.1,1.1551,,,,,,,,,,,,,,,,,,,,
